ctrlMSE	score	pMSE	p	BH
glycogen metabolic process	105.754568802639	0.848698409132417	0.2	0.2	1
spindle localization	104.445098851493	0.84864393982226	0.2	0.2	1
establishment of spindle localization	104.461973405743	0.848638505724477	0.2	0.2	1
purine nucleobase transport	107.539066290286	0.848635303290577	0.2	0.2	1
regulation of cardiac muscle hypertrophy	104.887979717926	0.848580307975478	0.2	0.2	1
regulation of muscle hypertrophy	104.887979717926	0.848580307975478	0.2	0.2	1
renal system process involved in regulation of blood volume	104.881458537916	0.848517212294096	0.2	0.2	1
regulation of cytoplasmic translation	104.153806955348	0.848447209555692	0.2	0.2	1
cellular polysaccharide metabolic process	105.736905360896	0.848435348867629	0.2	0.2	1
positive regulation of lamellipodium assembly	105.011786529496	0.848182314931545	0.2	0.2	1
sprouting angiogenesis	108.111402264208	0.848171177723557	0.4	0.2	1
polynucleotide dephosphorylation	105.859330239386	0.848093720986275	0.2	0.2	1
peptidyl-glutamic acid carboxylation	105.436286450501	0.848012992875017	0.2	0.2	1
protein carboxylation	105.436286450501	0.848012992875017	0.2	0.2	1
regulation of non-canonical Wnt signaling pathway	106.638119206546	0.847979885517213	0.2	0.2	1
negative regulation of lyase activity	109.937200016435	0.847695041952675	0.2	0.2	1
serine family amino acid metabolic process	104.488708686804	0.847549231141795	0.2	0.2	1
regulation of T-helper cell differentiation	104.626486357915	0.847470106461989	0.2	0.2	1
neutrophil chemotaxis	104.17477031523	0.847376170381094	0.2	0.2	1
Golgi to plasma membrane transport	107.511380749623	0.847370549057332	0.2	0.2	1
neutrophil migration	104.831179046424	0.847339782523392	0.2	0.2	1
response to corticosteroid	105.354740614555	0.847316372397247	0.2	0.2	1
seryl-tRNA aminoacylation	104.398827775737	0.847272939373411	0.2	0.2	1
translational elongation	104.69779579583	0.847201918670601	0.2	0.2	1
response to glucocorticoid	106.436083887121	0.847047992725821	0.2	0.2	1
cytoplasmic sequestering of protein	104.919241977777	0.846750004655881	0.2	0.2	1
extrinsic apoptotic signaling pathway via death domain receptors	104.168419549068	0.846689463491777	0.2	0.2	1
regulation of mRNA polyadenylation	105.702398051832	0.846554762736616	0.2	0.2	1
Golgi to plasma membrane protein transport	107.083882764289	0.846528064973637	0.2	0.2	1
negative regulation of interleukin-12 production	107.403451702554	0.846519047547071	0.4	0.4	1
morphogenesis of an endothelium	105.202621660036	0.846476992767975	0.2	0.2	1
endothelial tube morphogenesis	105.202621660036	0.846476992767975	0.2	0.2	1
polysaccharide digestion	108.668030887078	0.846304349381932	0.2	0.2	1
regulation of sister chromatid cohesion	104.642343651928	0.846201001892522	0.2	0.2	1
superoxide metabolic process	105.147749492694	0.846176520496282	0.2	0.2	1
positive regulation of osteoblast differentiation	105.164020184596	0.846174119807101	0.2	0.2	1
positive regulation of T-helper cell differentiation	104.634619997963	0.846173338125183	0.2	0.2	1
protein autoubiquitination	105.048714375201	0.846045952335307	0.2	0.2	1
renal system process involved in regulation of systemic arterial blood pressure	106.154633798071	0.846021894868486	0.2	0.2	1
regulation of vascular endothelial growth factor production	105.560663045764	0.845984594360509	0.2	0.2	1
cellular carbohydrate metabolic process	106.350178847403	0.845952380453375	0.4	0.2	1
forebrain cell migration	105.259396706563	0.845710568861031	0.2	0.2	1
cellular response to vascular endothelial growth factor stimulus	105.77032229753	0.845649120018887	0.2	0.2	1
aging	106.760753043199	0.84560995873153	0.2	0.2	1
nucleotide-excision repair, DNA damage recognition	105.6425334488	0.845460923099263	0.2	0.2	1
multi-ciliated epithelial cell differentiation	108.295781001706	0.84544544089137	0.2	0.2	1
ventricular cardiac muscle cell differentiation	107.254897405529	0.845445349969178	0.2	0.2	1
dicarboxylic acid transport	106.041423861904	0.845375524773053	0.2	0.2	1
protein K6-linked ubiquitination	110.944462919721	0.845238645355939	0.2	0.2	1
regulation of proton transport	107.001951495041	0.84509604814019	0.4	0.4	1
positive regulation of non-canonical Wnt signaling pathway	105.637219779846	0.845047684965882	0.2	0.2	1
regulation of platelet activation	105.426315889361	0.844793291020076	0.2	0.2	1
ncRNA 3'-end processing	106.3429833429	0.844687984918349	0.2	0.2	1
central nervous system projection neuron axonogenesis	108.496366064325	0.844594450218534	0.2	0.2	1
RNA phosphodiester bond hydrolysis, exonucleolytic	105.121348189243	0.84449218386748	0.2	0.2	1
response to interleukin-3	104.982943925909	0.844477945450729	0.2	0.2	1
cellular response to interleukin-3	104.982943925909	0.844477945450729	0.2	0.2	1
energy reserve metabolic process	106.798290995638	0.844472363153464	0.4	0.2	1
positive regulation of mRNA catabolic process	105.384424489961	0.844467354305922	0.2	0.2	1
positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	105.790107448332	0.844428896309185	0.2	0.2	1
response to interleukin-6	105.07098176227	0.844366811562127	0.2	0.2	1
negative regulation of centrosome cycle	104.760011818302	0.844364618954219	0.2	0.2	1
regulation of lamellipodium assembly	104.622424569439	0.844348086420948	0.2	0.2	1
photoreceptor cell differentiation	105.116730285449	0.84433217031331	0.2	0.2	1
pronephros development	105.890166789244	0.844201284092554	0.2	0.2	1
NLS-bearing protein import into nucleus	105.781678592835	0.844171964142973	0.2	0.2	1
positive regulation of autophagy of mitochondrion	105.71908794503	0.844156370120254	0.2	0.2	1
purine nucleobase transmembrane transport	105.498716251047	0.844155962930847	0.2	0.2	1
negative regulation of transferase activity	105.059035899694	0.844121518003892	0.2	0.2	1
tRNA 3'-end processing	105.493389931832	0.843980085363893	0.2	0.2	1
regulation of bone resorption	105.188951459851	0.843905663163227	0.2	0.2	1
regulation of synapse assembly	106.451465779225	0.843903770003552	0.2	0.2	1
response to oxygen levels	105.851228880386	0.843894500309199	0.2	0.2	1
positive regulation of spindle assembly	107.199728699876	0.843892058184169	0.2	0.2	1
establishment of protein localization to telomere	105.980276296474	0.843842578328822	0.2	0.2	1
negative regulation of GTPase activity	106.10745521206	0.843814210024707	0.2	0.2	1
cell-cell junction organization	106.99068061434	0.843732859244458	0.2	0.2	1
calcium ion import	105.975087866549	0.84372267014471	0.2	0.2	1
positive regulation of triglyceride metabolic process	105.328312622793	0.843696972911544	0.4	0.4	1
nucleotide-binding oligomerization domain containing signaling pathway	105.424050543169	0.84362012011998	0.2	0.2	1
antigen receptor-mediated signaling pathway	106.396409204804	0.843560166434335	0.2	0.4	1
receptor-mediated virion attachment to host cell	104.581222849323	0.8435341873647	0.2	0.2	1
positive regulation of oxidative stress-induced cell death	106.108864728837	0.843527935016633	0.2	0.2	1
regulation of nuclear-transcribed mRNA poly(A) tail shortening	105.336241766678	0.84352327233527	0.2	0.2	1
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening	105.336241766678	0.84352327233527	0.2	0.2	1
positive regulation of cell cycle G2/M phase transition	104.349545851295	0.843417195623028	0.2	0.2	1
regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	105.509990980386	0.843302936829337	0.2	0.2	1
negative regulation of viral genome replication	105.447451351048	0.84321701377234	0.2	0.2	1
cysteine metabolic process	104.339791637379	0.843214335640063	0.2	0.2	1
regulation of cell shape	104.665599673801	0.843093667129451	0.2	0.2	1
cellular response to platelet-derived growth factor stimulus	104.50667386796	0.843086228522398	0.2	0.2	1
cytoplasmic pattern recognition receptor signaling pathway	105.168661406141	0.843060897171693	0.2	0.2	1
positive regulation of leukocyte differentiation	105.275595396689	0.842956928403651	0.2	0.2	1
positive regulation of cytoplasmic translation	105.461748307955	0.842858924568983	0.2	0.2	1
fatty acid elongation	106.0238127298	0.842735014596431	0.2	0.2	1
regulation of protein complex disassembly	104.676764148202	0.842719325049871	0.2	0.2	1
nucleotide catabolic process	105.701939323942	0.842698959113104	0.2	0.2	1
epidermal cell differentiation	105.121893547845	0.842689786678537	0.2	0.2	1
positive regulation of production of molecular mediator of immune response	105.34179716524	0.842686805322708	0.2	0.2	1
regulation of hemopoiesis	105.492234339661	0.842682835714971	0.2	0.2	1
protein modification by small protein conjugation	107.185420091403	0.842569059698011	0.2	0.2	1
nucleoside phosphate catabolic process	105.725089677099	0.842548135725103	0.2	0.2	1
negative regulation of substrate adhesion-dependent cell spreading	105.373513421687	0.842515515856757	0.2	0.2	1
response to platelet-derived growth factor	104.685418165175	0.842443013593224	0.2	0.2	1
hindbrain morphogenesis	105.908794786525	0.842442099246056	0.2	0.2	1
double-strand break repair via classical nonhomologous end joining	107.466729540997	0.842420380041001	0.2	0.2	1
positive regulation of ossification	104.955964035813	0.842388417935886	0.2	0.2	1
regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	105.475560438149	0.842326524906313	0.2	0.2	1
positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	105.475560438149	0.842326524906313	0.2	0.2	1
cellular response to increased oxygen levels	106.256743554482	0.842290540107466	0.2	0.2	1
response to increased oxygen levels	106.256743554482	0.842290540107466	0.2	0.2	1
cell-substrate junction assembly	108.291218792445	0.842279538307045	0.4	0.2	1
positive regulation of viral entry into host cell	105.349616660713	0.842252149373279	0.2	0.2	1
ammonium transport	107.422350054415	0.84218805818495	0.2	0.2	1
negative regulation of cyclase activity	111.747889602104	0.841946330271269	0.4	0.2	1
negative regulation of gluconeogenesis	105.278938717234	0.841855281278143	0.2	0.4	1
exit from mitosis	106.237814264602	0.841820866661085	0.2	0.2	1
negative regulation of protein depolymerization	105.112309425693	0.841800434616192	0.4	0.4	1
regulation of myeloid leukocyte differentiation	105.086836449156	0.841762768310394	0.2	0.2	1
negative regulation of protein acetylation	105.222828141775	0.841702018285717	0.4	0.4	1
positive regulation of protein processing	106.728652228248	0.841595902322235	0.2	0.2	1
small nucleolar ribonucleoprotein complex assembly	105.390943380543	0.84157556378736	0.2	0.2	1
box C/D snoRNP assembly	105.390943380543	0.84157556378736	0.2	0.2	1
granulocyte chemotaxis	105.504242318871	0.841532843499178	0.2	0.2	1
cardioblast differentiation	106.958860850337	0.841530006905439	0.2	0.2	1
negative regulation of histone acetylation	105.563085621539	0.84152044504158	0.2	0.2	1
regulation of hydrogen peroxide-mediated programmed cell death	107.122322151999	0.841460645422104	0.2	0.2	1
negative regulation of adenylate cyclase activity	112.079167488559	0.841453681810992	0.6	0.4	1
mitochondrial tRNA processing	105.858726206953	0.841435498382104	0.2	0.2	1
negative regulation of cardiac muscle hypertrophy	107.003069998384	0.841382777901966	0.2	0.2	1
negative regulation of muscle hypertrophy	107.003069998384	0.841382777901966	0.2	0.2	1
negative regulation of protein complex disassembly	105.311911879185	0.84130240815951	0.2	0.2	1
interleukin-1-mediated signaling pathway	106.02649093893	0.841264718507981	0.2	0.2	1
nuclear-transcribed mRNA poly(A) tail shortening	105.879944323326	0.84124382920096	0.2	0.2	1
glycolipid catabolic process	105.774021154455	0.841094170617937	0.2	0.2	1
tumor necrosis factor-mediated signaling pathway	106.169885670581	0.84106306444328	0.2	0.2	1
secondary metabolite biosynthetic process	114.475911209314	0.840952157911364	0.6	0.2	1
regulation of morphogenesis of an epithelium	105.908955925573	0.840943925566622	0.2	0.2	1
regulation of phagocytosis	106.144978325252	0.84089490069414	0.2	0.2	1
muscle tissue development	105.885092702156	0.840892118342424	0.2	0.2	1
positive regulation of myeloid leukocyte differentiation	105.286344409133	0.840810551142332	0.2	0.2	1
anterior/posterior pattern specification	105.161070673631	0.840796700095193	0.2	0.2	1
steroid catabolic process	105.756207322192	0.840712239289641	0.2	0.2	1
regulation of short-term neuronal synaptic plasticity	106.631329642118	0.840686746903697	0.2	0.2	1
presynaptic membrane assembly	106.481536839964	0.840601157309354	0.2	0.2	1
regulation of metaphase plate congression	107.118498180544	0.84051024805007	0.2	0.2	1
regulation of alpha-beta T cell differentiation	105.926815837966	0.840495469759239	0.2	0.2	1
NADP metabolic process	106.419598902744	0.840473446461292	0.2	0.2	1
locomotory behavior	105.183465253705	0.840413817004234	0.2	0.2	1
JAK-STAT cascade	107.185868782656	0.840403853792632	0.2	0.2	1
STAT cascade	107.185868782656	0.840403853792632	0.2	0.2	1
cholesterol efflux	107.451135344738	0.840369272749867	0.2	0.2	1
iron-sulfur cluster assembly	106.161404568455	0.840287750483528	0.2	0.4	1
metallo-sulfur cluster assembly	106.161404568455	0.840287750483528	0.2	0.2	1
endodermal cell fate commitment	108.136223496714	0.840271393386448	0.2	0.2	1
regulation of mRNA splicing, via spliceosome	105.727812522788	0.840233270812791	0.2	0.2	1
regulation of cholesterol storage	106.05128351709	0.840226716179391	0.2	0.2	1
regulation of oxidative phosphorylation	107.98776917548	0.840218030049249	0.2	0.2	1
regulation of production of molecular mediator of immune response	105.765325470703	0.840116622521252	0.2	0.2	1
myeloid cell homeostasis	105.940099964342	0.839967922908449	0.2	0.2	1
positive regulation of bone resorption	105.528065087062	0.839901479971693	0.2	0.2	1
positive regulation of bone remodeling	105.528065087062	0.839901479971693	0.2	0.2	1
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	106.817905236542	0.839883950428757	0.2	0.2	1
malate metabolic process	106.774980122855	0.839836374798699	0.2	0.2	1
positive regulation of T cell mediated cytotoxicity	106.519339150895	0.839834571907347	0.2	0.2	1
positive regulation of tissue remodeling	105.521561923083	0.839824505664343	0.2	0.2	1
regulation of protein localization to presynapse	106.494198238091	0.839771510678992	0.2	0.2	1
positive regulation of protein localization to presynapse	106.494198238091	0.839771510678992	0.2	0.2	1
cellular defense response	105.093081163273	0.839740642672217	0.2	0.2	1
negative regulation of neuron projection regeneration	108.661416328762	0.839712993186726	0.2	0.2	1
protein polyubiquitination	107.062872982466	0.83967528969859	0.2	0.2	1
regulation of alternative mRNA splicing, via spliceosome	105.734953592441	0.839601195521349	0.2	0.2	1
negative regulation of potassium ion transport	105.468835282853	0.839494554904708	0.2	0.2	1
phosphatidylserine metabolic process	107.268522783066	0.839432356709396	0.2	0.2	1
homeostasis of number of cells	105.9935759442	0.839418458469142	0.4	0.4	1
positive regulation of double-strand break repair	106.93503159435	0.839382642213167	0.2	0.2	1
neutrophil extravasation	108.397672864067	0.839317045856333	0.2	0.2	1
polyamine transport	107.275001039435	0.839300155545591	0.2	0.2	1
regulation of fatty acid oxidation	106.319667212718	0.839275584396759	0.2	0.2	1
post-embryonic animal organ development	107.084575876329	0.839272667032823	0.2	0.2	1
positive regulation of bone development	105.823808855071	0.839215079686951	0.2	0.2	1
regulation of osteoclast differentiation	106.927511922487	0.839128531765971	0.2	0.2	1
regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	109.202037102818	0.839114116064974	0.2	0.2	1
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	109.202037102818	0.839114116064974	0.2	0.2	1
proteolysis	106.429103410221	0.839111138248614	0.2	0.2	1
nuclear RNA surveillance	107.187124948515	0.839098399207556	0.2	0.2	1
nuclear mRNA surveillance	107.187124948515	0.839098399207556	0.2	0.2	1
secretory granule organization	105.997244076352	0.839084774163022	0.2	0.2	1
sperm capacitation	106.277220742472	0.839020295451594	0.2	0.2	1
regulation of CD4-positive, alpha-beta T cell differentiation	106.504653391133	0.839020267856143	0.2	0.2	1
uronic acid metabolic process	105.966915492934	0.838984554190324	0.4	0.4	1
glucuronate metabolic process	105.966915492934	0.838984554190324	0.2	0.2	1
tRNA wobble base modification	105.644367937502	0.838914778751875	0.2	0.2	1
cellular response to exogenous dsRNA	106.834365399138	0.838901921109514	0.2	0.2	1
regulation of osteoclast development	105.864730474102	0.838897755452169	0.2	0.2	1
eye morphogenesis	105.691568927511	0.838840764450667	0.2	0.2	1
T cell receptor signaling pathway	106.562267720628	0.838830003422499	0.2	0.2	1
positive regulation of actin filament polymerization	106.753374178879	0.838778534665406	0.2	0.2	1
protein K11-linked deubiquitination	107.443624396065	0.838770909587112	0.2	0.2	1
cell-matrix adhesion	107.520717093501	0.838739529765745	0.2	0.2	1
innate immune response activating cell surface receptor signaling pathway	106.845711208094	0.838667658314708	0.2	0.2	1
vesicle transport along microtubule	106.158289305792	0.838666777600354	0.4	0.2	1
stimulatory C-type lectin receptor signaling pathway	106.846427326931	0.838665022893301	0.4	0.2	1
telomere assembly	106.293744914188	0.838647082193407	0.2	0.2	1
regulation of ATP biosynthetic process	114.029887588187	0.838645844974954	0.4	0.2	1
sensory organ morphogenesis	106.235959504424	0.838544022389324	0.2	0.2	1
regulation of protein depolymerization	104.941414056724	0.838539533296211	0.2	0.2	1
positive regulation of osteoclast differentiation	105.753649655429	0.838537781273705	0.2	0.2	1
regulation of retrograde protein transport, ER to cytosol	109.675860817238	0.838425398587993	0.2	0.2	1
positive regulation of DNA recombination	108.143721869797	0.838388672947844	0.2	0.2	1
epidermis development	107.339673530122	0.838378218949129	0.2	0.2	1
vesicle-mediated transport to the plasma membrane	107.261419060552	0.838226445187057	0.2	0.2	1
positive regulation of mesonephros development	106.726497135364	0.838172448891102	0.2	0.2	1
retina homeostasis	106.823217318805	0.838150315060721	0.2	0.2	1
tRNA wobble uridine modification	106.503134615187	0.838145141198169	0.2	0.2	1
tRNA thio-modification	106.503134615187	0.838145141198169	0.2	0.2	1
amino acid activation	107.229917953146	0.838120802551574	0.4	0.4	1
tRNA aminoacylation	107.229917953146	0.838120802551574	0.2	0.2	1
inorganic anion transmembrane transport	106.297236035794	0.838049024314807	0.2	0.2	1
negative regulation of type I interferon-mediated signaling pathway	107.152306909965	0.837993931627499	0.4	0.2	1
neuroepithelial cell differentiation	106.925180103213	0.837971188692493	0.2	0.2	1
negative regulation of microtubule polymerization	107.60243994997	0.837966457340348	0.2	0.2	1
cell differentiation in hindbrain	106.828123320538	0.8379532864321	0.2	0.2	1
nucleobase-containing small molecule interconversion	106.356814313911	0.83793364613283	0.2	0.2	1
regulation of delayed rectifier potassium channel activity	112.834390829559	0.837897377323562	0.4	0.2	1
coronary vasculature morphogenesis	106.872833227842	0.837853628381747	0.2	0.2	1
vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane	105.873642299132	0.837807485491565	0.2	0.2	1
intrinsic apoptotic signaling pathway by p53 class mediator	106.744505082017	0.837784944839848	0.2	0.2	1
regulation of peptidyl-tyrosine phosphorylation	106.523389765659	0.837782360211544	0.2	0.2	1
SCF complex assembly	110.90809800212	0.837746036962102	0.2	0.2	1
positive regulation of Wnt signaling pathway	106.798459967643	0.83773584177347	0.2	0.2	1
inorganic anion transport	106.263206345272	0.837723362581756	0.2	0.2	1
sphingomyelin metabolic process	109.551761166232	0.837716354289036	0.2	0.2	1
melanosome transport	106.645605023986	0.837677124043653	0.2	0.2	1
pigment granule transport	106.645605023986	0.837677124043653	0.2	0.4	1
positive regulation of canonical Wnt signaling pathway	106.73450177103	0.837634146136568	0.2	0.2	1
positive regulation of receptor binding	105.971416417242	0.837634096082581	0.2	0.4	1
positive regulation of insulin receptor signaling pathway	109.028887834724	0.837627365215754	0.2	0.2	1
phosphatidylethanolamine biosynthetic process	106.364004091283	0.837604356148426	0.2	0.2	1
granulocyte migration	106.480776850932	0.837518908803322	0.2	0.2	1
reactive oxygen species metabolic process	108.927390883395	0.837492792342305	0.2	0.2	1
cellular response to retinoic acid	106.541802979093	0.83744465689494	0.2	0.2	1
regulation of hematopoietic progenitor cell differentiation	106.888535840939	0.837425206941334	0.2	0.2	1
regulation of stem cell differentiation	106.903065870428	0.837413744946831	0.2	0.2	1
phosphatidylethanolamine metabolic process	106.506706449191	0.837301124619946	0.4	0.4	1
fat-soluble vitamin metabolic process	105.271028520448	0.83729228906969	0.2	0.2	1
transcription-coupled nucleotide-excision repair	107.061306005699	0.837205283346381	0.2	0.2	1
natural killer cell chemotaxis	109.731695937686	0.837204937418813	0.2	0.2	1
response to retinoic acid	106.200300238992	0.837111706533784	0.2	0.2	1
negative regulation of mitotic cell cycle	107.07567017164	0.837104696292324	0.2	0.2	1
negative regulation of immune response	106.316491883142	0.837090148257861	0.2	0.4	1
forebrain morphogenesis	106.968754755003	0.837072949250464	0.2	0.2	1
response to exogenous dsRNA	106.925044707968	0.837069560916151	0.2	0.2	1
cell junction assembly	109.406737995613	0.837066603489343	0.4	0.4	1
angiogenesis involved in wound healing	106.747909861137	0.837020571438536	0.2	0.2	1
G2/M transition of mitotic cell cycle	106.166790686833	0.837001500302938	0.2	0.2	1
regulation of macrophage apoptotic process	108.372246453082	0.837000876989905	0.2	0.2	1
cell cycle G2/M phase transition	106.168419262505	0.836992290341728	0.2	0.2	1
positive regulation of CD4-positive, alpha-beta T cell differentiation	106.242567948893	0.836943275510123	0.2	0.2	1
NIK/NF-kappaB signaling	107.111542896382	0.836939966533326	0.2	0.2	1
negative regulation of cytolysis	106.142351115629	0.836892542387603	0.2	0.2	1
ovulation cycle process	108.21999021138	0.836847340566462	0.6	0.4	1
sphingolipid biosynthetic process	108.784807030743	0.836808943797445	0.4	0.2	1
purine ribonucleotide catabolic process	107.414051432988	0.836800765269563	0.2	0.2	1
regulation of antigen processing and presentation of peptide antigen	115.091224530459	0.836792455539984	0.6	0.2	1
relaxation of smooth muscle	106.603885183282	0.836770070161519	0.2	0.2	1
regulation of Rac protein signal transduction	107.017994923346	0.836758311485129	0.2	0.2	1
peptidyl-proline hydroxylation to 4-hydroxy-L-proline	107.565532791765	0.836745441757872	0.2	0.2	1
regulation of hematopoietic stem cell differentiation	106.80886153361	0.83672549109247	0.2	0.2	1
regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	107.111001303533	0.836677568342311	0.2	0.2	1
negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	107.111380296453	0.836674302415736	0.2	0.2	1
regulation of bone development	106.290120380925	0.836666740874607	0.6	0.4	1
cell junction organization	109.760685485855	0.836630159284261	0.2	0.2	1
negative regulation of plasma membrane bounded cell projection assembly	107.483602580152	0.836545294826343	0.2	0.2	1
unsaturated fatty acid biosynthetic process	106.381413722555	0.836538301038354	0.2	0.2	1
extrinsic apoptotic signaling pathway	105.608401100732	0.836519307147962	0.2	0.2	1
positive regulation of DNA damage response, signal transduction by p53 class mediator	112.323403791976	0.836493112500039	0.6	0.4	1
protein polymerization	106.704026610348	0.836439522479896	0.2	0.2	1
cellular response to oxygen levels	108.015614353178	0.836420714057849	0.2	0.2	1
anaphase-promoting complex-dependent catabolic process	107.163831246056	0.836416916742407	0.2	0.2	1
positive regulation of lymphocyte differentiation	106.7927796068	0.836294184285259	0.4	0.4	1
termination of signal transduction	108.254610230984	0.836293326486012	0.2	0.2	1
synaptic vesicle exocytosis	108.686031979836	0.836204679336158	0.4	0.4	1
rRNA-containing ribonucleoprotein complex export from nucleus	107.282763910516	0.836166949529874	0.2	0.2	1
positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition	107.252779666293	0.836148328962282	0.4	0.4	1
positive regulation of ubiquitin protein ligase activity	107.242352292638	0.836130769305777	0.2	0.2	1
cellular response to hypoxia	108.081828369479	0.836129594961572	0.2	0.2	1
regulation of transcription from RNA polymerase II promoter in response to hypoxia	106.797090329377	0.836084956759946	0.4	0.2	1
